"#comment tokens","#prog. conc","#prob. conc","descriptive","operative","conditional","#scope_symbols","#scope_functions","scope_compound_statement1s","scope_param","scope_line_numbers","prog_dom_match_identifiers","prob_dom_match_identifiers","copyright_license_comments","libraries"
9,1,0,0.2,1.8,0,0.30000000000000004,0.1,0.1,0.1,8,0,0,0,0
4,1,0,0.1,0.9,0,0.30000000000000004,0.1,0.1,0.1,4,0,0,0,0
3,0,0,0.1,0.9,0,0.30000000000000004,0.1,0.1,0.1,4,2,0,0,0
1,0,0,0.9,0.1,0,0.30000000000000004,0.1,0.1,0.1,1,0,0,0,0
2,0,0,0.9,0.1,0,0.30000000000000004,0.1,0.1,0.1,1,0,0,0,0
9,2,0,1.8,0.2,0,0.30000000000000004,0.1,0.1,0.1,72,11,0,0,0
5,0,0,0.1,0.9,0,0.30000000000000004,0.1,0.1,0.1,1,0,0,0,0
1,0,0,0.9,0.1,0,0.30000000000000004,0.1,0.1,0.1,1,0,0,0,0
4,1,0,0.1,0.9,0,0.30000000000000004,0.1,0.1,0.1,9,0,0,0,0
2,0,0,0.1,0.9,0,0.30000000000000004,0.1,0.1,0.1,1,0,0,0,0
18,0,0,1.1,1.9000000000000001,0,0.30000000000000004,0.1,0.1,0.1,40,0,0,0,0
14,0,0,1.1,1.9000000000000001,0,0.30000000000000004,0.1,0.1,0.1,7,0,0,0,0
3,0,0,0.9,0.1,0,0.30000000000000004,0.1,0.1,0.1,1,0,0,0,0
4,0,0,0.1,0.9,0,0.30000000000000004,0.1,0.1,0.1,15,0,0,0,0
2,0,0,0.9,0.1,0,0.30000000000000004,0.1,0.1,0.1,9,0,0,0,0
7,1,0,0.9,0.1,0,0.30000000000000004,0.1,0.1,0.1,4,0,0,0,0
9,0,0,1.8,0.2,1,0.30000000000000004,0.1,0.1,0.1,11,0,0,0,0
1,0,0,0.9,0.1,0,0.30000000000000004,0.1,0.1,0.1,3,0,0,0,0
13,1,0,1.0,1.0,0,0.30000000000000004,0.1,0.1,0.1,7,1,0,0,0
12,1,0,0.2,1.8,0,0.30000000000000004,0.1,0.1,0.1,220,0,0,0,0
6,3,0,0.9,0.1,0,0.30000000000000004,0.1,0.1,0.1,1,0,0,0,0
21,2,0,2.0,2.0,1,0.30000000000000004,0.1,0.1,0.1,6,0,0,0,0
3,1,0,0.1,0.9,0,0.30000000000000004,0.1,0.1,0.1,8,0,0,0,0
6,0,0,0.1,0.9,0,0.30000000000000004,0.1,0.1,0.1,1,0,0,0,0
2,0,0,0.1,0.9,0,0.30000000000000004,0.1,0.1,0.1,1,0,0,0,0
4,1,0,0.9,0.1,0,0.30000000000000004,0.1,0.1,0.1,39,0,0,0,0
1,0,0,0.9,0.1,0,0.30000000000000004,0.1,0.1,0.1,5,0,0,0,0
16,4,0,1.2000000000000002,2.8000000000000003,2,0.30000000000000004,0.1,0.1,0.1,4,0,0,0,0
1,0,0,0.9,0.1,0,0.30000000000000004,0.1,0.1,0.1,1,0,0,0,0
7,0,0,3.6,0.4,0,0.30000000000000004,0.1,0.1,0.1,6,0,0,0,0
5,0,0,0.9,0.1,0,0.30000000000000004,0.1,0.1,0.1,1,0,0,0,0
1,0,0,0.9,0.1,0,0.30000000000000004,0.1,0.1,0.1,1,0,0,0,0
4,0,0,0.9,0.1,0,0.30000000000000004,0.1,0.1,0.1,1,0,0,0,0
2,0,0,0.1,0.9,0,0.30000000000000004,0.1,0.1,0.1,1,0,0,0,0
2,0,0,0.9,0.1,0,0.30000000000000004,0.1,0.1,0.1,4,0,0,0,0
3,0,0,0.1,0.9,0,0.30000000000000004,0.1,0.1,0.1,1,0,0,0,0
3,0,0,0.9,0.1,0,0.30000000000000004,0.1,0.1,0.1,7,0,0,0,0
2,0,0,0.1,0.9,0,0.30000000000000004,0.1,0.1,0.1,1,0,0,0,0
5,0,0,0.9,0.1,0,0.30000000000000004,0.1,0.1,0.1,10,0,0,0,0
13,3,0,0.30000000000000004,2.7,0,0.30000000000000004,0.1,0.1,0.1,5,0,0,0,0
3,0,0,0.9,0.1,0,0.30000000000000004,0.1,0.1,0.1,9,0,0,0,0
2,0,0,0.9,0.1,0,0.30000000000000004,0.1,0.1,0.1,1,0,0,0,0
1,0,0,0.9,0.1,0,0.30000000000000004,0.1,0.1,0.1,1,0,0,0,0
1,0,0,0.9,0.1,0,0.30000000000000004,0.1,0.1,0.1,1,0,0,0,0
2,0,0,0.1,0.9,0,0.30000000000000004,0.1,0.1,0.1,1,0,0,0,0
11,2,0,1.0,1.0,0,0.30000000000000004,0.1,0.1,0.1,41,0,0,0,0
6,3,0,0.1,0.9,0,0.30000000000000004,0.1,0.1,0.1,21,7,0,0,0
5,1,0,0.1,0.9,0,0.30000000000000004,0.1,0.1,0.1,1,0,0,0,0
1,0,0,0.9,0.1,0,0.30000000000000004,0.1,0.1,0.1,1,0,0,0,0
1,0,0,0.9,0.1,0,0.30000000000000004,0.1,0.1,0.1,1,0,0,0,0
4,1,0,0.1,0.9,0,0.30000000000000004,0.1,0.1,0.1,4,0,0,0,0
9,0,0,1.0,1.0,0,0.30000000000000004,0.1,0.1,0.1,17,0,0,0,0
1,0,0,0.9,0.1,0,0.30000000000000004,0.1,0.1,0.1,1,0,0,0,0
11,2,0,1.0,1.0,0,0.30000000000000004,0.1,0.1,0.1,5,0,0,0,0
1,0,0,0.9,0.1,0,0.30000000000000004,0.1,0.1,0.1,1,0,0,0,0
8,2,0,0.9,0.1,1,0.30000000000000004,0.1,0.1,0.1,33,0,0,0,0
8,2,0,1.0,1.0,1,0.30000000000000004,0.1,0.1,0.1,19,0,0,0,0
1,0,0,0.1,0.9,0,0.30000000000000004,0.1,0.1,0.1,1,0,0,0,0
2,0,0,0.1,0.9,0,0.30000000000000004,0.1,0.1,0.1,1,0,0,0,0
11,4,0,1.8,0.2,0,0.30000000000000004,0.1,0.1,0.1,8,5,0,0,0
10,2,0,1.0,1.0,0,0.30000000000000004,0.1,0.1,0.1,12,0,0,0,0
3,0,0,0.9,0.1,0,0.30000000000000004,0.1,0.1,0.1,1,0,0,0,0
2,0,0,0.9,0.1,0,0.30000000000000004,0.1,0.1,0.1,1,0,0,0,0
2,0,0,0.9,0.1,0,0.30000000000000004,0.1,0.1,0.1,1,0,0,0,0
18,8,0,1.9000000000000001,1.1,0,0.30000000000000004,0.1,0.1,0.1,5,0,0,0,0
1,0,0,0.1,0.9,0,0.30000000000000004,0.1,0.1,0.1,1,0,0,0,0
1,0,0,0.1,0.9,0,0.30000000000000004,0.1,0.1,0.1,1,0,0,0,0
